title,brand,category,offerPrice,pageUrl
"Samsung Notebook 9 Pro NP940X5N-X01US 15&quot; FHD 2-in-1 Touch Screen Laptop, 8th Gen Intel Quad-Core i7-8550U Up To 4GHz, 16GB DDR4, 256GB SSD, Backlit Keyboard, Windows 10, Built-in S Pen, Titan Silver",Samsung,Computers,$6.99,https://www.amazon.com/Samsung-Notebook-NP940X5M-X01US-i7-7500U-Keyboard/dp/B076V63MQX
Samsung UN65F8000 65-Inch 1080p 240Hz 3D Ultra Slim Smart LED HDTV (2013 Model),Samsung,Electronics,$132.89,https://www.amazon.com/Samsung-UN65F8000-65-Inch-1080p-240Hz/dp/B00BCGRLSU
Samsung Galaxy S4 Mini L520 16GB Sprint CDMA 4G LTE Android Smartphone - Black,Samsung,Electronics,$152.27,https://www.amazon.com/Samsung-Galaxy-Black-Android-Smartphone/dp/B00K8C4QN2
Samsung Galaxy S8 64GB Unlocked Phone - International Version (Coral Blue),Samsung,Electronics,$534.98,https://www.amazon.com/Samsung-Galaxy-64GB-Unlocked-Phone/dp/B06Y1651W6
"Samsung Galaxy Note 5, Black 64GB (Sprint)",Samsung,Electronics,$70.05,https://www.amazon.com/Samsung-Galaxy-Note-Black-Sprint/dp/B0134TUXS2
"Samsung High Drain INR18650-25R 20A 2500mAh Rechargeable Flat Top 3.7V Battery, (4 Pcs) by M&A BD Electronics",Samsung,Cameras,$22.88,https://www.amazon.com/Samsung-INR18650-25R-Rechargeable-BD-Electronics/dp/B074L2TRQP
Samsung Galaxy S5 OEM Battery with US Warranty - Frustration-Free Packaging,Samsung,Electronics,$18.49,https://www.amazon.com/Samsung-Galaxy-Battery-Warranty-Frustration-Free/dp/B00KYVMY1I
Samsung Galaxy J7 Pro (16GB) J730G/DS - 5.5&quot; Full HD Dual SIM Unlocked Phone with Finger Print Sensor (US &amp; Latin 4G LTE) (Pink),Samsung,Electronics,$10.99,https://www.amazon.com/Samsung-Galaxy-16GB-J730G-DS/dp/B0743P5DJ2
Samsung 64GB USB 3.0 Flash Drive Fit (MUF-64BB/AM),Samsung,Computers,$18.90,https://www.amazon.com/Samsung-Flash-Drive-MUF-64BB-AM/dp/B013CCTNKU
Samsung Galaxy S8 64GB Phone- 5.8&quot; display - AT&T Unlocked(Coral Blue),Samsung,Electronics,$219.99,https://www.amazon.com/Samsung-Galaxy-64GB-Phone-display/dp/B06Y176637
Wireless Earbuds Mini Bluetooth earbud with Mic In-Ear Earbud Earphones Sports Cordless Headphones with Stereo Bass Earpiece Wireless Bluetooth Earbuds For iPhone X 7 8 plus Samsung Galaxy and Android,Samsung,Electronics,$13.99,https://www.amazon.com/Wireless-Bluetooth-Earphones-Cordless-Headphones/dp/B07FK63S57
SNH-C6417BN - Samsung Wisenet SmartCam 1080p Full HD Wi-Fi Camera,Samsung,Cameras,$99.99,https://www.amazon.com/SNH-C6417BN-Samsung-Wisenet-SmartCam-Camera/dp/B06Y4F2V44
"Samsung Galaxy GS7 Edge, Silver 32GB (Verizon Wireless)",Samsung,Electronics,$229.99,https://www.amazon.com/Samsung-Galaxy-GS7-Edge-Wireless/dp/B01CJ3SF20
"XXL Size Samsung Galaxy Note 8,Note 9,S8 Plus, S9 Plus Leather Belt Clip Pouch Case Cover Holster (Fits Phone with Otter Box Symmetry/Defender / LIFEPROOF/Extended Battery or Thick Case On) Black",Samsung,Electronics,$10.99,https://www.amazon.com/Samsung-Symmetry-Defender-LIFEPROOF-Extended/dp/B079WHXV4C
Samsung 64GB PRO SDXC Memory Card - Class 10 (MB-SG64D/AM),Samsung,Computers,$49.99,https://www.amazon.com/Samsung-64GB-SDXC-Memory-Card/dp/B00IVPU6BY
"Samsung Note 8 (128GB/6GB) SM-N9500 6.3&quot; Dual SIM GSM Unlocked International Model, No Warranty, NO CDMA(Orchid Gray)",Samsung,Electronics,$900.00,https://www.amazon.com/Samsung-SM-N9500-Unlocked-International-Warranty/dp/B0761QNS5N
"USB C to HDMI Adapter(4K@60Hz) Samsung DeX Station PC-like experience for Galaxy S8/S8+/S9/S9+,Note 8, Note 9, Nintendo Switch, Dock for MacBook Pro, Chromebook Pixel and More",Samsung,Electronics,$19.99,https://www.amazon.com/Adapter-Samsung-experience-Nintendo-Chromebook-Android/dp/B07J4XSSXV
"Straight Talk Samsung galaxy S6 Edge 32GB &quot;Sapphire Black&quot; with wireless charging pad ,runs on AT&amp;T's 4G LTE network via Straight Talk's 5GB unlimited plan",Samsung,Electronics,$299.95,https://www.amazon.com/Straight-Samsung-Sapphire-wireless-unlimited/dp/B01CE5ZFWG
"Samsung Galaxy S6 Active, 32 GB , White (AT&T)",Samsung,Electronics,$299.99,https://www.amazon.com/Samsung-Galaxy-S6-Active-White/dp/B00ZE8HVHI
"Samsung Galaxy Tab 4 7.0 Tablet, Quad-core Marvell PXA, Android, 7"", Wi-Fi, 8GB",Samsung,Electronics,£199.00,http://web.archive.org/web/20150407230606/http://www.comparethehighstreet.com/product/262/68-233736320/Samsung-Galaxy-Tab-4-70-Tablet-Quad-core-Marvell-PXA-Android-7-Wi-Fi-8GB.html
"Samsung Galaxy J6 (2018) J600G 32GB 2GB RAM 5.6&quot; 4G LTE GSM Single Sim 13.0 MP Factory Unlocked Fingerprint International Version, No Warranty (Gold)",Samsung,Electronics,$175.00,https://www.amazon.com/Samsung-Unlocked-Fingerprint-International-Warranty/dp/B07DJST8L9
Samsung Chromebook Plus Convertible Touch Laptop (XE513C24-K01US) (Renewed),Samsung,Computers,$420.86,https://www.amazon.com/Samsung-Chromebook-Convertible-XE513C24-K01US-Refurbished/dp/B077J8ZSN5
"Samsung Galaxy S7 G930V 32GB, Verizon, Gold Platinum, Unlocked Smartphones (Renewed)",Samsung,Electronics,$139.49,https://www.amazon.com/Samsung-G930V-Smartphones-Certified-Refurbished/dp/B01HU2C224
Samsung Galaxy S9+ Factory Unlocked Smartphone 64GB - Midnight Black,Samsung,Electronics,$599.99,https://www.amazon.com/Samsung-Galaxy-S9-Unlocked-Smartphone/dp/B079JXY4TJ
"Dex Station for Samsung, Koopman USB Type C to HDMI(4k@60Hz) Hub Adapter for Galaxy Note 9/Note8/S8/S8+/S9/S9 Plus, MacBook Pro 2016/2017/2018, Nintendo Switch, iPad Pro 2018, ChromeBook, XPS and More",Samsung,Electronics,$31.99,https://www.amazon.com/Station-Samsung-Koopman-Nintendo-ChromeBook/dp/B07M5DMYKY
Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black),Samsung,Electronics,$574.99,https://www.amazon.com/dp/B06Y14T5YW
"Samsung Galaxy S9 Plus Sunrise Gold SM-G965F/DS 64GB/6GB Dual Sim Factory Unlocked GSM Only, No CDMA - International Version (No Warranty in The USA)",Samsung,Electronics,$636.00,https://www.amazon.com/Samsung-Sunrise-SM-G965F-DS-Unlocked/dp/B07G1T8XL4
"Samsung Gear IconX (2018 Edition) SM-R140NZKAXAR Bluetooth Cord-free Fitness Earbuds, w/ On-board 4Gb MP3 Player (US Version with Warranty) - Black",Samsung,Electronics,$89.99,https://www.amazon.com/Samsung-Bluetooth-Cord-free-Fitness-Warranty/dp/B07644ZS1D
Samsung Galaxy Note 2 Flip Cover Case (Marble White),Samsung,Electronics,$5.50,https://www.amazon.com/Samsung-Galaxy-Cover-Marble-White/dp/B009M5LA12
Samsung Galaxy S6 SM-G920V 32GB Verizon 4G LTE Smartphone w/ 16MP Camera - Sapphire Black,Samsung,Electronics,$119.00,https://www.amazon.com/Samsung-Galaxy-SM-G920V-Verizon-Smartphone/dp/B075ZWBM5G
Samsung Galaxy S5 for STRAIGHT TALK - Use Verizon's 4G LTE Network (WHITE),Samsung,Electronics,,https://www.amazon.com/Samsung-Galaxy-S5-STRAIGHT-TALK/dp/B01I5NA38M
Samsung 128GB 100MB/s (U3) MicroSD EVO Select Memory Card with Adapter (MB-ME128GA/AM),Samsung,Computers,$19.96,https://www.amazon.com/Samsung-MicroSDXC-Adapter-MB-ME64GA-AM/dp/B06XWZWYVP?tag=kinjadeals-20&ascsubtag=31d903b05aecd215e475e80bd550f644978dd423
SASSLM4020ND - Samsung ProXpress SL-M4020ND Monochrome Laser Printer,Samsung,Computers,$229.95,https://www.amazon.com/Samsung-Proxpress-Sl-M4020nd-Monochrome-Printer/dp/B00CYX5QBE
"Samsung Galaxy S6 SM-G920i Unlocked Cellphone, 32GB, Black Sapphire,INTERNATIONAL VERSION NO WARRANTY (Renewed)",Samsung,Electronics,$149.95,https://www.amazon.com/Samsung-SM-G920i-Unlocked-Cellphone-INTERNATIONAL/dp/B07N2J3X23
Samsung Digimax L74 Wide 7.2MP Digital Camera with 3.6x Wide Angle Advance Shake Reduction Optical Zoom (Black),Samsung,Cameras,,https://www.amazon.com/Samsung-Digimax-Digital-Advance-Reduction/dp/B000OXJVLW
Samsung UN32J5003 32-Inch 1080p LED TV (2015 Model),Samsung,Electronics,$234.99,https://www.amazon.com/Samsung-UN32J5003-32-Inch-1080p-Model/dp/B00V0923TG
"Samsung Electronics SM-T590NZKAXAR Galaxy Tab A, 10.5&quot;, Black",Samsung,Electronics,$327.99,https://www.amazon.com/Samsung-Electronics-SM-T590NZKAXAR-Galaxy-Black/dp/B07FM86283
"Samsung Galaxy S9 (SM-G960F/DS) 4GB / 64GB 5.8-inches LTE Dual SIM (GSM Only, No CDMA) Factory Unlocked - International Stock No Warranty (Coral Blue, Phone Only)",Samsung,Electronics,$599.77,https://www.amazon.com/Samsung-SM-G960F-5-8-inches-Factory-Unlocked/dp/B079SQ39RZ
Samsung SmartThings Motion Sensor [GP-U999SJVLBAA] with Slim Design and Optional Automated Alerts - Zigbee - White,Samsung,Electronics,$22.99,https://www.amazon.com/Samsung-SmartThings-GP-U999SJVLBAA-Optional-Automated/dp/B07F8ZHBLS
Samsung Galaxy Note 5 SM-N920T 64GB White T-Mobile Smartphone -Excellent,Samsung,Electronics,$212.95,https://www.amazon.com/Samsung-SM-N920T-Smartphone-Certified-Refurbished/dp/B077YXHRLR
Samsung Galaxy J7 - No Contract Phone - White - (Boost Mobile)(Carrier locked phone ),Samsung,Electronics,$79.99,https://www.amazon.com/Samsung-Galaxy-J7-Contract-Carrier/dp/B01ETPUQ6E
Samsung SL-310W 13.1MP Digital Camera with 3.6x Wide Angle Optical Image Stabilized Zoom (Black),Samsung,Cameras,,https://www.amazon.com/Samsung-SL-310W-Digital-Stabilized-Black/dp/B001BS810G
"Samsung Galaxy J2 Core 2018 Factory Unlocked (Usa Latin Caribbean) Android Oreo SM-J260M Dual Sim 8MP International Version, No Warranty (Lavender)",Samsung,Electronics,$84.99,https://www.amazon.com/Samsung-Unlocked-Caribbean-SM-J260M-Lavender/dp/B07H8QSH1V
RBEIK [2 Pack] Samsung Galaxy A7 2017 Screen Protector [Tempered Glass] Premium 9H Hardness Tempered Glass Screen Protector for Samsung Galaxy A7 2017 SM-A720F Smartphone with Anti-Scratch Feature,Samsung,Electronics,$6.99,https://www.amazon.com/RBEIK-2017-Protector-Smartphone-Anti-Scratch/dp/B06WD6T48D
